                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                   19700                                     1402                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2432390238769367E+010                  5.1616616088501172E+005                  4.6066543319436278E+003                  5.6948644817914825E+001                  1.1863949309791824E+001                  3.4798340370814973E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.5296236688157931E-002                  4.5778500404798689E-001                  0.0000000000000000E+000                  4.3357068965856116E-001                  1.9427531730922486E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  3.4332628298164658E-001                  6.2999960863600554E-004                  5.2633403899421949E-001                  6.3300957124611340E-002                  3.1071978687654514E-003                  5.2050328965645397E-002                  1.9424015313975185E-003                  4.8925431426556193E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999976702235249E-001                  1.1835008122878916E+001                  9.9999968486854485E-001                  1.1826574353299138E+001                  4.0914523266969406E+005                  3.4742963711205848E+004                  1.7559680361093006E+008                  5.6730459966301659E+001                  3.2265864833905269E+001                  7.8554779092291938E+000                  2.2818105091015424E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.9234323581470125E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                      rho                                 conv_vel                             log_conv_vel                         log_conv_vel_old                      conv_vel_div_csound                       conv_vel_div_L_vel 
                                       1                  1.0000000000000000E+000                  1.0742292824467645E+000                  3.6633857558921887E+000                 -7.7968794481494443E+000                  3.6725448336232587E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.5963221942850290E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.9999999999949996E-001                  1.0742292786218297E+000                  3.6633860862763949E+000                 -7.7968771222296978E+000                  3.6725474763647998E+000                  6.9999999987604467E-001                  2.8000000012395543E-001                  1.9999999999999907E-002                  1.5963307436159811E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.9999999999873346E-001                  1.0742292727583640E+000                  3.6633864861782870E+000                 -7.7968743069312829E+000                  3.6725506751484001E+000                  6.9999999972600779E-001                  2.8000000027399252E-001                  1.9999999999999685E-002                  1.5963410918063579E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.9999999999796696E-001                  1.0742292668949414E+000                  3.6633870860324764E+000                 -7.7968700840277059E+000                  3.6725554732798842E+000                  6.9999999950095215E-001                  2.8000000049904800E-001                  1.9999999999999796E-002                  1.5963566140558037E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.9999999999643396E-001                  1.0742292551682024E+000                  3.6633884668841610E+000                 -7.7968603631736828E+000                  3.6725665182270166E+000                  6.9999999775026012E-001                  2.8000000224974025E-001                  1.9999999999999574E-002                  1.5963923458551522E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9999999999267364E-001                  1.0742292264037103E+000                  3.6633908712187155E+000                 -7.7968392989617090E+000                  3.6725857487904876E+000                  6.9999053298573133E-001                  2.8000945128493665E-001                  2.0000015729332077E-002                  1.5964697761787363E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.9999999998721745E-001                  1.0742291846681948E+000                  3.6633937180058118E+000                 -7.7968131045525499E+000                  3.6726085168664349E+000                  6.9997645314961354E-001                  2.8002351472694959E-001                  2.0000032123436817E-002                  1.5965660699274174E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.9999999998176126E-001                  1.0742291429351847E+000                  3.6633983682398084E+000                 -7.7967656670424859E+000                  3.6726457057904329E+000                  6.9994281550239545E-001                  2.8005709814053348E-001                  2.0000086357071067E-002                  1.5967404706132606E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.9999999996939215E-001                  1.0742290483373835E+000                  3.6634093367110072E+000                 -7.7966414085904514E+000                  3.6727334098304172E+000                  6.9983515807204211E-001                  2.8016460623699041E-001                  2.0000235690967427E-002                  1.5971973884283458E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000 
