                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                      50                                     1045                  2.0000000000000000E+001                  2.0000000000000000E-002                  1.3370054746243614E+006                  1.2422410457413108E+005                  3.3739001794405900E+004                  4.7508704829381204E+004                  6.3882363139274956E+000                 -6.1777395184794637E+000                  6.2831498332752889E-001                  6.0356412308785808E-008                  3.5179586439227067E-001                  1.1847392712135397E-004                  9.5385006756248340E-003                  4.0195597876595364E-003                  2.0539441734845226E-003                  2.0000000000000000E+001                  0.0000000000000000E+000                  1.3372333798280399E+001                  2.4629276726637300E-004                  6.2270417111823289E+000                  3.1383054491769521E-002                  1.0489716672385581E-001                  1.3984682277162136E-001                  4.1078883469690457E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9999999994436692E+001                  6.3645653509952327E+000                  1.9999999933938653E+001                  6.3243226319323096E+000                  3.6148479419349918E+004                  3.0937510676758960E+004                  4.2097548379452415E+006                  4.7589241933819903E+004                  4.7589241933819852E+004                  9.9236155341831181E-029                  3.2605292271422736E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.2193419297624703E+013 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     grav                                   radius                    pressure_scale_height                              temperature                                      rho                                 pressure                                     abar                                  opacity                        mlt_mixing_length                                 conv_vel                             log_conv_vel                         log_conv_vel_old                                 super_ad                       conv_vel_div_L_vel                          B_equipartition 
                                       1                  2.0000000000000000E+001                  8.0538097320477353E-001                  4.5286614637365652E+000                 -9.0478032938629340E+000                  3.8561859175830255E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3432517117211735E+004                  6.3882363139274956E+000                  8.5750181721980338E-003                  3.3780141445757145E+004                  8.9577039731272948E-010                  7.1810163836850688E+003                  1.2966440175506926E+000                  1.6301654457772998E+000                  1.1936082294972775E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.9999999999989999E+001                  8.0537224075509595E-001                  4.5303995097815459E+000                 -9.0361139431192470E+000                  3.8667612627520755E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3433057308910142E+004                  6.3881078656196575E+000                  8.5527066936800216E-003                  3.3915600407658283E+004                  9.2020811084892887E-010                  7.3580250622371677E+003                  1.2966440175506926E+000                  1.6521949746507463E+000                  1.1926136108548303E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.9999999999967091E+001                  8.0535276467597283E-001                  4.5322867081498055E+000                 -9.0239478212669120E+000                  3.8779881745291438E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3434262182688217E+004                  6.3878213952412830E+000                  8.5334650942803358E-003                  3.4063299114097426E+004                  9.4635085477998477E-010                  7.5507166742362551E+003                  1.2966440175506926E+000                  1.6755104451871348E+000                  1.1887344855276172E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.9999999999954181E+001                  8.0534209203217189E-001                  4.5343192324193442E+000                 -9.0113928116916160E+000                  3.8898102266408685E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3434922484039716E+004                  6.3876644185639933E+000                  8.5186566409888673E-003                  3.4223091026833805E+004                  9.7410817549665795E-010                  7.7590799456183249E+003                  1.2966440175506926E+000                  1.6999854885321855E+000                  1.1870852667704823E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.9999999999928363E+001                  8.0532135273097716E-001                  4.5372074878512265E+000                 -8.9944446433294942E+000                  3.9061625088687846E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3436205688031172E+004                  6.3873593892837350E+000                  8.5061639444625851E-003                  3.4451448615246845E+004                  1.0128738449757645E-009                  8.0567986255064079E+003                  1.2966440175506926E+000                  1.7336903596411657E+000                  1.1848752219804640E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.9999999999898854E+001                  8.0529855439215026E-001                  4.5402651557005180E+000                 -8.9775189467802186E+000                  3.9229553556560068E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3437616432396189E+004                  6.3870240929180193E+000                  8.5026695807773108E-003                  3.4694861304331142E+004                  1.0531277417724745E-009                  8.3744319071850950E+003                  1.2966440175506926E+000                  1.7681106183135333E+000                  1.1837151159349084E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.9999999999869345E+001                  8.0527662409076073E-001                  4.5432960804618405E+000                 -8.9616597705178691E+000                  3.9391261806864453E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3438973603014852E+004                  6.3867015794329589E+000                  8.5079139863830696E-003                  3.4937842320428907E+004                  1.0922957138233934E-009                  8.6921293526542086E+003                  1.2966440175506926E+000                  1.8010460884023063E+000                  1.1838505884235933E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.9999999999839837E+001                  8.0525547702868649E-001                  4.5462977964079316E+000                 -8.9467613034319147E+000                  3.9547194252914362E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3440282432186095E+004                  6.3863905999197499E+000                  8.5207058707824773E-003                  3.5180158874260072E+004                  1.1304170428300729E-009                  9.0098886825670488E+003                  1.2966440175506926E+000                  1.8325828628098249E+000                  1.1851164803424654E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.9999999999810331E+001                  8.0523504017908587E-001                  4.5487592460764583E+000                 -8.9350807311021718E+000                  3.9672241312794947E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3441547426165253E+004                  6.3860900788706827E+000                  8.5360870232621244E-003                  3.5380115477703162E+004                  1.1612327319533821E-009                  9.2730826640650739E+003                  1.2966440175506926E+000                  1.8577081375190934E+000                  1.1873110764720314E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.9999999999790965E+001                  8.0522198289255620E-001                  4.5506946610173866E+000                 -8.9262185279744397E+000                  3.9768851367180624E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3442355704499607E+004                  6.3858980806806427E+000                  8.5512877707371541E-003                  3.5538137309189471E+004                  1.1851722440171021E-009                  9.4816765640143803E+003                  1.2966440175506926E+000                  1.8770010574807243E+000                  1.1892225467246559E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      11                  1.9999999999771600E+001                  8.0520918821017795E-001                  4.5535728042727772E+000                 -8.9135318043293470E+000                  3.9909868947557454E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3443147774134779E+004                  6.3857099494989171E+000                  8.5786898480449091E-003                  3.5774436711209069E+004                  1.2203044519232801E-009                  9.7946042882355996E+003                  1.2966440175506926E+000                  1.9049437282189767E+000                  1.1915550547739267E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      12                  1.9999999999732871E+001                  8.0518433232370057E-001                  4.5573544802658175E+000                 -8.8976117743737824E+000                  4.0091081176561358E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3444686639986481E+004                  6.3853444879371963E+000                  8.6212938494271262E-003                  3.6087307501795251E+004                  1.2658674292733049E-009                  1.0211936783371970E+004                  1.2966440175506926E+000                  1.9404720312721340E+000                  1.1970717199800024E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      13                  1.9999999999694143E+001                  8.0516036704640048E-001                  4.5601474579113681E+000                 -8.8863415989123116E+000                  4.0222223211475043E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3446170533666686E+004                  6.3849921410030266E+000                  8.6570224822049811E-003                  3.6320135318626868E+004                  1.2991473180050646E-009                  1.0525005250203594E+004                  1.2966440175506926E+000                  1.9658541663398172E+000                  1.2033503105977190E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      14                  1.9999999999674781E+001                  8.0514868992618271E-001                  4.5619916963095095E+000                 -8.8791325079788734E+000                  4.0307510716923689E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3446893622608706E+004                  6.3848204664329140E+000                  8.6829010280238678E-003                  3.6474697291361423E+004                  1.3208925539858233E-009                  1.0733740009694879E+004                  1.2966440175506926E+000                  1.9821422824204420E+000                  1.2068068144438808E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  1.9999999999655415E+001                  8.0513720412208045E-001                  4.5647310836584287E+000                 -8.8687417565701789E+000                  4.0432394505528100E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3447604902508945E+004                  6.3846516090551990E+000                  8.7244790997430509E-003                  3.6705494867985057E+004                  1.3528767817658452E-009                  1.1046875273181453E+004                  1.2966440175506926E+000                  2.0056280509812305E+000                  1.2105428742253387E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      16                  1.9999999999616687E+001                  8.0511477297287370E-001                  4.5683223790016267E+000                 -8.8555701868763403E+000                  4.0593541800998754E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3448994101862645E+004                  6.3843218526792747E+000                  8.7828972929257926E-003                  3.7010280703410914E+004                  1.3945362666711706E-009                  1.1464475224439670E+004                  1.2966440175506926E+000                  2.0353163939670162E+000                  1.2184782627484872E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      17                  1.9999999999577959E+001                  8.0509300859548716E-001                  4.5718480188536326E+000                 -8.8431214819603099E+000                  4.0748953557144141E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3450342144073858E+004                  6.3840019146780014E+000                  8.8447741164175871E-003                  3.7311956193371007E+004                  1.4350879507420929E-009                  1.1882158895044091E+004                  1.2966440175506926E+000                  2.0630998913014325E+000                  1.2268520058295610E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      18                  1.9999999999539227E+001                  8.0507185608503684E-001                  4.5753074487576306E+000                 -8.8313192485596410E+000                  4.0899024261304042E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3451652417938838E+004                  6.3836909865304898E+000                  8.9094168313803273E-003                  3.7610356390646972E+004                  1.4746221444824924E-009                  1.2299923947459876E+004                  1.2966440175506926E+000                  2.0889995195816207E+000                  1.2356581630322893E+009                  5.9603423164016067E-001                 -2.2472879699548848E-001                 -2.2472879699548848E-001                  0.0000000000000000E+000                  1.6117695106408648E-008                  8.1136545062570698E-005 
                                      19                  1.9999999999500499E+001                  8.0505126769931312E-001                  4.5787003732131133E+000                 -8.8200959331704389E+000                  4.1044109059706715E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3452927870167821E+004                  6.3833883651927081E+000                  8.9762154015568547E-003                  3.7905337968414351E+004                  1.5132269483254790E-009                  1.2717768226518878E+004                  1.2966440175506926E+000                  2.1130320969977099E+000                  1.2448062715679817E+009                  1.3508591294488264E+001                  1.1306100622027244E+000                  1.1306100622027244E+000                  2.1701752613554059E-003                  3.6852165374169776E-007                  1.8628034244068913E-003 
                                      20                  1.9999999999461771E+001                  8.0503120173837872E-001                  4.5820266975800630E+000                 -8.8093914604935595E+000                  4.1184528819044992E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3454171074507467E+004                  6.3830934365950238E+000                  9.0446264965077777E-003                  3.8196775099372891E+004                  1.5509883636203946E-009                  1.3135689736328708E+004                  1.2966440175506926E+000                  2.1351930698731971E+000                  1.2542162141473114E+009                  2.4908200475052631E+001                  1.3963423525069960E+000                  1.3963423525069960E+000                  4.3037552659458966E-003                  6.8522762726190891E-007                  3.4773752142706746E-003 
                                      21                  1.9999999999423039E+001                  8.0501162163597417E-001                  4.5869065437808301E+000                 -8.7942562701230642E+000                  4.1387031718496639E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3455384287799221E+004                  6.3828056622598499E+000                  9.1509583032971294E-003                  3.8628384334279355E+004                  1.6059933027804563E-009                  1.3762685062791759E+004                  1.2966440175506926E+000                  2.1646817256851789E+000                  1.2639499738411915E+009                  3.4362983359035518E+001                  1.5360908617983564E+000                  1.5360908617983564E+000                  5.9490656710452228E-003                  9.5290894468391034E-007                  4.8816614673970202E-003 
                                      22                  1.9999999999345587E+001                  8.0497379516086820E-001                  4.5916056330659440E+000                 -8.7798920394343831E+000                  4.1580577417668856E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3457728384267695E+004                  6.3822497525365067E+000                  9.2551031359232108E-003                  3.9048614856138280E+004                  1.6599995127556440E-009                  1.4389898869155026E+004                  1.2966440175506926E+000                  2.1905022901918936E+000                  1.2834747753962445E+009                  4.8775180573303743E+001                  1.6881988858952430E+000                  1.6881988858952430E+000                  8.1921831275977020E-003                  1.3730435729759525E-006                  7.0446236783978629E-003 
                                      23                  1.9999999999306855E+001                  8.0495549369654595E-001                  4.5946676128118824E+000                 -8.7707984625140440E+000                  4.1704996874572178E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3458862667662330E+004                  6.3819808058656804E+000                  9.3259488381035628E-003                  3.9324898722395556E+004                  1.6951242525865089E-009                  1.4808111895919468E+004                  1.2966440175506926E+000                  2.2052492977825437E+000                  1.2932019568123255E+009                  5.3734432193569241E+001                  1.7302526640904237E+000                  1.7302526640904237E+000                  8.8579183889281599E-003                  1.5234263600247046E-006                  7.8425692975142396E-003 
                                      24                  1.9999999999268127E+001                  8.0493756921505211E-001                  4.5991547412285518E+000                 -8.7577947980440580E+000                  4.1885216871068947E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3459973679182041E+004                  6.3817174100801415E+000                  9.4335578015896891E-003                  3.9733309595871222E+004                  1.7466472400066039E-009                  1.5435535009190318E+004                  1.2966440175506926E+000                  2.2237339250254933E+000                  1.3031571273923767E+009                  5.6582238665674275E+001                  1.7526801262407254E+000                  1.7526801262407254E+000                  9.1590212156109074E-003                  1.6151306322714973E-006                  8.3827720990151157E-003 
